ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price
1,DZ127R-11-02-25,"J2,J4",HDR-TH_2P-P1.27-V-M,2,DZ127R-11-02-25,DEALON(德艺隆),LCSC,C2935942,0.002
2,10kΩ,"R2,R1,R3,R13,R14",R0402,5,0402WGJ0103TCE,UNI-ROYAL(厚声),LCSC,C25531,
3,U254-051T-4BHJ25-F2S,J1,MICRO-USB-SMD_U254-051T-4BHJ25-F2S,1,U254-051T-4BHJ25-F2S,XKB Connectivity(中国星坤),LCSC,C381143,0.015
4,100nF,"C4,C6,C8,C11,C2",C0402,5,CL05B104KB54PNC,SAMSUNG(三星),LCSC,C307331,0.001
5,4.7uF,C5,C0402,1,CL05A475KP5NRNC,SAMSUNG(三星),LCSC,C368809,0.001
6,10uF,"C9,C10",C0402,2,CL05A106MP5NUNC,SAMSUNG(三星),LCSC,C315248,0.002
7,22uF,C7,C0805,1,CL21A226MPQNNNE,SAMSUNG(三星),LCSC,C29277,0.003
8,LESD5D5.0CT1G,"D1,D2,D3",SOD-523_L1.2-W0.8-LS1.6-BI,3,LESD5D5.0CT1G,LRC(乐山无线电),LCSC,C383211,0.003
9,TC0805GF01-1CSA,LED1,LED0805-RD_GREEN,1,TC0805GF01-1CSA,TCWIN(天成),LCSC,C5137315,0.003
10,FC-2012HRK-620D,LED2,LED0805-RD_RED,1,NCD0805R1,国星光电,LCSC,C84256,0.002
11,SS8050-G,"Q3,Q4",SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,2,SS8050-G,CJ(江苏长电/长晶),LCSC,C164886,0.003
12,5.1kΩ,R4,R0402,1,0402WGF5101TCE,UNI-ROYAL(厚声),LCSC,C25905,
13,560Ω,R5,R0402,1,0402WGF5600TCE,UNI-ROYAL(厚声),LCSC,C25126,
14,1kΩ,R7,R0402,1,0402WGF1001TCE,UNI-ROYAL(厚声),LCSC,C11702,
15,22.1kΩ,R8,R0402,1,0402WGF2212TCE,UNI-ROYAL(厚声),LCSC,C43473,
16,47.5kΩ,R10,R0402,1,0402WGF4752TCE,UNI-ROYAL(厚声),LCSC,C25896,
17,0Ω,"R11,R12",R0402,2,0402WGJ0000TCE,UNI-ROYAL(厚声),LCSC,C21376,
18,PTS 647 SN38 SMTR2 LFS,"RESET,SW1",KEY-SMD_4P-L4.5-W4.5-P3.00-LS6.5-TL,2,PTS 647 SN38 SMTR2 LFS,C&K,LCSC,C2799279,0.013
19,SYW-1912,U1,SENSOR-SMD_SYW-1912,1,SYW-1912,saiya(赛亚),LCSC,C3040975,0.078
20,CP2102N-A02-GQFN28R,U2,QFN-28_L5.0-W5.0-P0.50-TL-EP3.3,1,CP2102N-A02-GQFN28R,SILICON LABS(芯科),LCSC,C964632,0.456
21,AMS1117-3.3_C347222,U3,SOT-223-4_L6.5-W3.5-P2.30-LS7.0-BR,1,AMS1117-3.3,UMW(广东友台半导体),LCSC,C347222,0.006
22,ESP32-WROOM-32E(8MB),U4,WIFI-SMD_ESP32-WROOM-32E,1,ESP32-WROOM-32E-N8,ESPRESSIF(乐鑫),LCSC,C701342,0.532
23,CR1220-2,"B1,B2",BAT-SMD_CR1220-2,2,CR1220-2,Q&J,LCSC,C70381,0.035
24,PZ200V-11-04P,H1,HDR-TH_4P-P2.00-V-M,1,PZ200V-11-04P,XFCN(兴飞),LCSC,C541858,0.003
